fips,medloan,jobsretained,zpop,n_loan,n_dentists,rural,med_cap,jobs_cap,loan_cap,dent_ca
1001,757889.1992,88,35676,11,36,0,21.243671,246.66443,30.833054,100.90817
1003,7405099.057,694,125947,78,1296,0,58.795361,551.02545,61.930813,1029.0043
1005,209349,27,17556,3,9,0,11.924642,153.79358,17.088175,51.264526
1007,64300,0,2380,1,5,0,27.016808,0,42.016808,210.08403
1009,324367.5,18,16038,5,22,0,20.224934,112.23344,31.175957,137.17421
1011,123802.4688,18,10163,3,4,0,12.181685,177.11305,29.518843,39.358456
1013,337464,27,14012,5,6,0,24.083927,192.69197,35.683701,42.820438
1015,2564544.695,160,102284,26,469,0,25.072784,156.4272,25.41942,458.52725
1017,213170,22,28033,3,12,0,7.6042523,78.478935,10.701673,42.80669
1019,166974.3047,19,9475,2,4,0,17.622618,200.52771,21.108179,42.216358
1021,352700,38,24298,6,39,0,14.515598,156.39148,24.69339,160.50703
1023,141661.8008,9,4692,3,6,1,30.1922,191.81586,63.938618,127.87724
1025,414857.5,46,22939,6,21,0,18.085247,200.53185,26.156328,91.54715
1029,135303.6797,11,8665,2,0,0,15.614966,126.94749,23.081362,0
1031,852489.5,110,37321,10,36,0,22.842087,294.74023,26.794565,96.460442
1033,1453000.02,147,43943,10,75,0,33.065563,334.52426,22.756754,170.67564
1035,108540,8,8610,2,2,1,12.606272,92.915215,23.228804,23.228804
1037,32427.5,0,1622,1,0,0,19.992294,0,61.652283,0
1039,640450.2188,69,32883,9,42,0,19.476635,209.83487,27.369766,127.72557
1041,30770,3,5350,1,2,0,5.7514019,56.074768,18.691589,37.383179
1043,1657843.883,173,41267,19,123,0,40.173599,419.22116,46.04163,298.05899
1045,497843.8984,62,25954,5,34,0,19.18178,238.88419,19.264853,131.00101
1047,211823.1719,27,25316,2,12,0,8.3671656,106.65192,7.9001422,47.400852
1049,1055910.408,105,31385,14,80,0,33.643791,334.55472,44.607296,254.89883
1051,470849.5,52,41655,6,52,0,11.303553,124.83495,14.404033,124.83495
1053,347394.3203,45,34776,8,28,0,9.9894848,129.39958,23.004372,80.515297
1055,2039436.441,132,62986,27,265,0,32.379204,209.57037,42.866669,420.72842
1057,73850,8,10993,2,5,0,6.7179112,72.773582,18.193396,45.48349
1059,206533.4707,17,15945,4,16,0,12.952868,106.61649,25.086233,100.34493
1061,188000,12,10716,2,4,0,17.543859,111.98209,18.663681,37.327362
1065,45347.32031,7,7854,1,2,0,5.7737865,89.126556,12.732366,25.464731
1067,336136,40,13698,5,10,0,24.539057,292.01343,36.501678,73.003357
1069,3982037.125,286,69802,35,210,0,57.047607,409.73038,50.14183,300.85098
1071,563448.25,74,33543,12,90,0,16.797789,220.61235,35.774975,268.31232
1073,20626717.03,1937,573510,230,19788,0,35.965748,337.74475,40.10392,3450.3323
1075,281957,21,9920,2,6,1,28.423084,211.69354,20.161291,60.483871
1077,2738626.977,263,76661,33,255,0,35.723862,343.06885,43.046661,332.63327
1079,100150.2773,15,13710,2,3,0,7.3049073,109.40919,14.587892,21.881838
1081,3377314.242,297,78639,36,245,0,42.947063,377.6752,45.778812,311.55026
1083,721004.5195,69,39552,11,78,0,18.22928,174.45389,27.811489,197.20874
1087,55092,8,14937,2,10,0,3.6882908,53.558277,13.389569,66.947845
1089,10690966.24,1142,248788,143,2985,0,42.972195,459.02536,57.478657,1199.8167
1091,213832,25,8733,4,5,0,24.485516,286.27048,45.803276,57.254093
1093,273114,37,23238,6,15,0,11.752905,159.22197,25.819778,64.549446
1095,1725665.297,178,76792,20,204,0,22.471941,231.79498,26.04438,265.65268
1097,7268983.645,683,282301,93,3376,0,25.749054,241.94034,32.943562,1195.8867
1099,130500,14,11958,1,5,0,10.913197,117.07643,8.3626022,41.813011
1101,7288134.188,661,157948,73,1176,0,46.142616,418.49216,46.217743,744.54883
1103,3123109.041,343,87176,38,248,0,35.825333,393.45691,43.589977,284.48196
1105,49574.07031,6,6009,1,2,0,8.2499704,99.850227,16.641705,33.283409
1107,65500,8,5574,1,3,0,11.750987,143.5235,17.940437,53.821312
1109,345495.3438,36,22315,4,18,0,15.482651,161.32646,17.925163,80.663231
1111,163800,17,15086,2,6,0,10.857749,112.68726,13.257324,39.771973
1113,427426.4766,49,39579,7,45,0,10.799325,123.80302,17.686146,113.69666
1115,915723,113,46219,14,156,0,19.812696,244.4882,30.290573,337.52353
1117,4723713.725,512,117802,65,990,0,40.098755,434.62759,55.17733,840.39319
1119,71377,7,5115,2,2,0,13.954448,136.8524,39.100685,39.100685
1121,514246.5,43,62149,9,92,0,8.2744131,69.18856,14.481327,148.03134
1123,447846.3203,43,29846,7,22,0,15.005238,144.07291,23.45373,73.711723
1125,4558421.145,350,140898,45,800,0,32.352631,248.40665,31.937998,567.78662
1127,1462471.471,181,37315,18,120,0,39.192589,485.05963,48.237972,321.58649
1129,35000,0,3906,1,2,0,8.9605732,0,25.601639,51.203278
1131,52789.67188,4,5779,1,1,0,9.1347418,69.216125,17.304031,17.304031
1133,210052.2969,27,19241,4,8,0,10.916912,140.32535,20.78894,41.577881
2016,50839,8,828,1,6,0,61.399757,966.18359,120.77295,724.6377
2020,12744092.23,834,238332,114,3993,0,53.472015,349.93204,47.832436,1675.394
2050,20832.5,0,210,1,26,0,99.202377,0,476.19049,12380.952
2060,7979,1,678,1,1,1,11.768436,147.49263,147.49263,147.49263
2090,4407600.465,348,67707,42,540,0,65.098152,513.97937,62.03199,797.55414
2110,1969401.615,120,28624,18,32,0,68.80246,419.22861,62.884293,111.7943
2122,1804604.488,137,37852,19,210,0,47.675274,361.93597,50.195499,554.79236
2130,330038.25,36,14030,5,11,0,23.523752,256.59302,35.63792,78.403419
2150,349733.6211,37,12987,5,10,0,26.929516,284.9003,38.500038,77.000076
2170,2710600.123,165,52005,29,159,0,52.121914,317.27719,55.76387,305.73984
2180,48245,2,3906,1,9,0,12.35151,51.203278,25.601639,230.41475
2220,209692.7188,17,8787,3,11,0,23.863972,193.46762,34.141346,125.18493
2240,85348,3,5326,2,10,0,16.024784,56.32745,37.551632,187.75816
2261,123196.6719,13,5232,2,8,1,23.546764,248.47095,38.226299,152.9052
2280,66856.77344,6,3459,1,0,0,19.328354,173.46054,28.910089,0
4001,183000,144,6352,3,94,0,28.809824,2267.0024,47.229218,1479.8489
4003,1597758.189,221,59174,20,350,0,27.001017,373.47482,33.798626,591.47601
4005,3799872.5,1062,79668,31,324,0,47.696346,1333.0321,38.911484,406.68774
4007,667330,156,33385,7,60,0,19.988916,467.27573,20.967501,179.72144
4009,737119,71,21109,7,50,0,34.919655,336.34943,33.161209,236.8658
4011,19900,10,3785,1,2,0,5.2575955,264.20081,26.42008,52.84016
4012,332591,23,10781,2,9,0,30.849735,213.33829,18.551155,83.480194
4013,111127564.1,10411,2901591,1225,282912,0,38.29884,358.80316,42.218216,9750.2373
4015,2543918,642,108728,31,420,0,23.397083,590.46429,28.511515,386.28503
4017,1272396.223,605,53136,20,497,0,23.94603,1138.5878,37.639267,935.33575
4019,19337273.05,2207,799378,223,18340,0,24.190399,276.08966,27.89669,2294.2837
4021,20833,4,4327,1,139,0,4.814652,92.442802,23.110701,3212.3875
4023,79567,11,22851,2,12,0,3.481992,48.137936,8.7523518,52.514114
4025,6693876.5,1058,142716,72,1812,0,46.903477,741.33246,50.449844,1269.6544
4027,2105603.379,471,125387,28,183,0,16.792837,375.63702,22.330864,145.94815
5001,455000,24,17066,4,16,0,26.661198,140.63049,23.438416,93.753662
5003,246928.3203,35,20738,4,16,0,11.907046,168.77231,19.288263,77.153053
5005,1133602.602,102,26509,12,22,0,42.762932,384.77499,45.267647,82.990685
5007,6454640.484,574,139071,90,1232,0,46.412556,412.73883,64.715149,885.87842
5009,1491625.25,155,27841,15,20,0,53.576569,556.73285,53.877377,71.836502
5011,57337.5,7,9244,1,4,0,6.202672,75.724792,10.817828,43.271313
5015,217600,18,13913,3,16,0,15.640049,129.3754,21.562567,115.00036
5017,8500,0,4051,1,7,0,2.0982473,0,24.685263,172.79684
5019,332940.7109,25,24810,8,33,0,13.419618,100.76582,32.245064,133.01088
5021,243210,21,14879,5,18,0,16.345856,141.13852,33.604408,120.97587
5023,183967,24,15307,5,18,0,12.018488,156.79102,32.664795,117.59326
5027,199836,20,17155,3,10,0,11.648849,116.58408,17.487614,58.292042
5029,466823,19,10690,3,8,0,43.669128,177.73621,28.06361,74.836296
5031,2810811.918,273,66048,37,240,0,42.55711,413.33575,56.019863,363.3721
5033,395017.8828,47,40745,6,22,0,9.6948795,115.35158,14.725733,53.994354
5035,756052.4922,50,42131,10,102,0,17.945278,118.67746,23.735491,242.10202
5037,380070.25,46,14169,6,8,0,26.82407,324.6524,42.345966,56.461288
5039,119753.7969,14,6611,2,2,0,18.114325,211.76826,30.252609,30.252609
5041,169999.0527,13,12792,5,6,0,13.289482,101.62601,39.086929,46.904316
5043,118160,8,15356,2,4,0,7.6947122,52.096901,13.024225,26.04845
5045,968793.8008,85,77653,8,141,0,12.475935,109.46132,10.302242,181.57701
5047,139600,14,10095,1,3,0,13.828628,138.68251,9.9058943,29.717682
5049,90500,11,6684,2,4,1,13.539797,164.57211,29.922203,59.844406
5051,2731691.723,153,83338,37,232,0,32.778465,183.58972,44.397514,278.3844
5055,567227.8438,42,31328,8,14,0,18.106098,134.06537,25.536261,44.688457
5057,976200.4688,82,17264,5,8,0,56.545441,474.97684,28.962002,46.339203
5059,198398,25,21688,3,8,0,9.1478233,115.27112,13.832534,36.886757
5061,98174.67188,14,12665,3,6,0,7.7516518,110.54086,23.687326,47.374653
5063,792168.5391,84,23892,13,15,0,33.156227,351.58212,54.411518,62.78252
5065,97056.5,10,8939,3,12,1,10.857646,111.86934,33.560802,134.24321
5067,304924.5684,37,11245,5,6,0,27.116457,329.03513,44.464207,53.357048
5069,835016.6992,55,75926,12,90,0,10.99777,72.438957,15.804863,118.53647
5071,245900,0,12480,5,7,0,19.703526,0,40.064102,56.089745
5075,194900,16,9142,3,10,0,21.319185,175.0164,32.815575,109.38525
5081,143010,18,9010,3,5,0,15.872364,199.77803,33.296337,55.493896
5083,173165.4102,19,15127,3,18,0,11.447439,125.60323,19.832088,118.99253
5085,1407206.648,125,29011,11,40,0,48.50597,430.87106,37.916653,137.87874
5087,6500,2,8029,1,4,0,0.80956531,24.909702,12.454851,49.819405
5089,74700,9,2000,1,3,1,37.349998,450,50,150
5091,339257.3203,30,34206,6,14,0,9.9180651,87.703911,17.540783,40.928493
5093,384124.5,33,42060,7,48,0,9.1327744,78.459343,16.642891,114.12268
5095,40215.62109,3,5470,1,4,0,7.3520331,54.844608,18.281536,73.126144
5097,49200,9,3064,2,2,0,16.057442,293.73367,65.274155,65.274155
5103,311684.5,45,22171,6,10,0,14.058207,202.96783,27.062378,45.103966
5105,46852,4,3543,1,0,0,13.223822,112.89867,28.224669,0
5107,27200,0,7357,1,6,0,3.6971591,0,13.592497,81.554985
5109,70373.82031,32,2528,1,4,1,27.837746,1265.8228,39.556961,158.22784
5111,121573,15,9232,2,8,0,13.168653,162.47833,21.663778,86.655113
5113,108920.0508,15,14295,3,8,0,7.619451,104.93179,20.986359,55.963623
5115,1342212.637,54,41298,17,87,0,32.500668,130.75694,41.164223,210.66396
5119,20920513.79,989,353699,148,5900,0,59.147789,279.61627,41.843487,1668.085
5121,511624.5781,115,12605,5,7,0,40.58902,912.33636,39.666798,55.53352
5123,97391.35156,12,19546,2,9,0,4.9826741,61.393635,10.232272,46.045227
5125,1624704.047,130,51069,13,105,0,31.8139,254.55756,25.455755,205.60419
5127,43500,6,8070,1,1,0,5.3903346,74.349442,12.391574,12.391574
5129,54000,9,4552,1,3,1,11.862917,197.71529,21.968365,65.905098
5131,3708368,330,100468,47,658,0,36.910938,328.4628,46.781063,654.93488
5133,67927.02051,9,9858,3,6,0,6.8905478,91.29641,30.432137,60.864273
5135,79500,7,2830,1,4,0,28.091873,247.34982,35.33569,141.34276
5137,88891.57837,14,7664,2,3,1,11.598588,182.67224,26.096033,39.144051
5139,804542.5,53,35308,13,16,0,22.786407,150.10762,36.818851,45.31551
5141,130800,14,7333,2,6,0,17.837175,190.91777,27.273968,81.821899
5143,8339812.121,625,148897,71,1192,0,56.010612,419.75327,47.683968,800.55341
5145,1150464.164,101,45380,14,75,0,25.351789,222.565,30.850595,165.27104
5149,207665.1719,20,9427,2,6,0,22.028765,212.15657,21.215656,63.646973
6001,57833803.75,5006,1390103,692,65394,0,41.60397,360.11719,49.780483,4704.2559
6005,860894,181,30380,9,145,0,28.337524,595.78668,29.624754,477.28769
6007,7356119.922,552,194464,70,1485,0,37.827671,283.85718,35.99638,763.63751
6009,609529.5,50,31525,8,132,0,19.334797,158.60428,25.376686,418.7153
6011,202368,19,12050,3,20,0,16.794025,157.67635,24.896265,165.9751
6013,42794374.64,3664,928143,516,30000,0,46.107521,394.76675,55.594883,3232.2605
6015,221531.2383,8,23785,3,26,0,9.3139057,33.634644,12.612991,109.31259
6017,6844821.998,478,135267,80,1314,0,50.602306,353.37518,59.142288,971.41211
6019,21446198.83,2454,717370,260,15678,0,29.89559,342.08289,36.2435,2185.4832
6021,196506,24,22507,3,44,0,8.7308836,106.63349,13.329186,195.49474
6023,2445027,207,97771,33,642,0,25.007692,211.71922,33.752338,656.63641
6025,1078541,133,109428,17,244,0,9.8561707,121.54111,15.535329,222.97766
6027,3723392.5,180,13304,4,12,0,279.87015,1352.9766,30.066145,90.198433
6029,13776597.86,1384,502530,137,8189,0,27.414478,275.40643,27.262054,1629.5544
6031,1654667.279,126,83603,16,180,0,19.79196,150.7123,19.138069,215.30328
6033,505312.1494,42,21061,8,58,0,23.99279,199.42073,37.984901,275.39053
6035,477451.1484,22,19433,4,33,0,24.569092,113.20949,20.583544,169.81424
6037,264357171.7,27324,9319038,4309,2252856,0,28.367432,293.20624,46.238678,24174.77
