fips,medloan,jobsretained,zpop,n_loan,med_cap,jobs_cap,loan_cap
1,86794997.45,8424,3112688,981,27.884258,270.63425,31.516169
2,23117115.48,1580,474289,208,48.74057,333.13022,43.855118
4,133759217.8,14714,4183640,1471,31.971972,351.70331,35.16077
5,57923937.75,4157,1878957,563,30.827707,221.23976,29.963432
6,921160037.8,85474,31487779,11815,29.254526,271.45135,37.522495
8,154102299.3,11458,3866585,1816,39.854885,296.33383,46.966511
9,90230540.68,6874,2915774,869,30.945656,235.75215,29.803408
10,30457858.84,1957,692226,180,43.999878,282.71115,26.003069
11,18912585.27,1147,566768,193,33.369183,202.37558,34.052734
12,424869980.5,33037,14117546,4744,30.095173,234.01376,33.603573
13,225805709,19094,6745450,2269,33.475262,283.06488,33.637489
15,48965504.86,3428,1080714,478,45.308475,317.19769,44.230019
16,44209877.52,4113,1094933,561,40.376789,375.63943,51.236012
17,283714698.1,25502,10572823,3325,26.834337,241.20332,31.448555
18,156703854.3,12538,4959570,1433,31.596258,252.80417,28.893635
19,72445053.82,5564,2060276,598,35.162792,270.06091,29.025238
20,67527756.82,4998,1982702,645,34.058449,252.08025,32.531364
21,60222961.83,5865,2952412,808,20.397886,198.65114,27.367455
22,92059221.18,8442,3439296,1134,26.76688,245.45721,32.971863
23,35318571.3,2377,764994,286,46.16843,310.72141,37.385914
24,153264209.5,11780,4729346,1530,32.407063,249.08307,32.351196
25,234905932.7,15360,5714988,1848,41.103485,268.76697,32.336025
26,249137656.7,20776,8190907,2313,30.41637,253.64713,28.23863
27,159641832.1,11402,3955325,1125,40.361244,288.26962,28.442669
28,39654074.93,3960,2013415,541,19.694933,196.68077,26.869772
29,122775183.5,9396,4023952,1199,30.511095,233.50179,29.796577
30,27419491.62,2522,658804,350,41.620106,382.81491,53.126575
31,50373481.19,4198,1261283,551,39.938286,332.83569,43.685677
32,61726772.76,5783,1817202,669,33.968029,318.23651,36.814838
33,44709952.8,2255,931485,327,47.998573,242.08656,35.105236
34,222888535.5,17049,7487002,2462,29.770065,227.71465,32.883656
35,39384578.92,3221,1347800,440,29.221382,238.98204,32.645794
36,392498449.8,31643,16264566,4120,24.13212,194.55176,25.331141
37,237349658.9,17481,6633457,2093,35.780689,263.52774,31.552176
38,22818978.79,1730,415885,172,54.868481,415.98038,41.357586
39,264511792.5,21112,9051597,2448,29.222666,233.24062,27.04495
40,79251783.95,6913,2574245,917,30.786419,268.54477,35.622093
41,118238480.1,7438,2998956,1173,39.426548,248.01964,39.113613
42,259659140,18675,9534239,2378,27.234385,195.873,24.941687
44,24567752.06,1781,968884,217,25.356752,183.81973,22.396902
45,104049376.5,9186,3295865,1105,31.569672,278.71286,33.526859
46,26092809.25,2090,491088,228,53.132656,425.58563,46.427525
47,118769567.1,9466,4417695,1118,26.884964,214.27464,25.307316
48,508291454,49480,17625220,6010,28.838871,280.73407,34.098866
49,81570388.06,14420,2066420,1202,39.474255,697.8252,58.168232
50,17371202.14,1078,354439,152,49.010414,304.14261,42.88467
51,217081420.3,13925,5780457,2075,37.554371,240.8979,35.896816
53,251394165.8,14666,5260511,2239,47.788925,278.79422,42.562405
54,26178686.31,2287,1037510,277,25.232225,220.43161,26.698538
55,168067635.7,12192,4276115,1095,39.303814,285.11862,25.607357
56,14728263.97,1361,417546,172,35.273392,325.95212,41.193066
